   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  2.25        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.35         0                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.35         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.35         2                 2.7196621e+00                 3.0709886e+00                 0.0000000e+00
   0 100  2.35         3                 1.0278100e+00                 0.0000000e+00                 1.4708447e+00
   0 100  2.35         4                 0.0000000e+00                 3.2729964e-01                 1.0693581e+00
   0 100  2.35         5                 0.0000000e+00                 1.6908960e+00                 3.0471206e+00
   0 100  2.35         6                 0.0000000e+00                 7.3105265e-01                 0.0000000e+00
   0 100  2.35         7                 8.5779270e-01                 3.9549145e-01                 0.0000000e+00
   0 100  2.35         8                 0.0000000e+00                 0.0000000e+00                 1.2080033e-01
   0 100  2.35         9                 2.7818348e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.35        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.35        11                 0.0000000e+00                 1.1148293e-01                 3.6481105e-01
   0 100  2.35        12                 0.0000000e+00                 0.0000000e+00                 8.2321467e-01
   0 100  2.35        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
